,hash,obj
61472,%Y-%m-%dT%H%M%S,1985-02-25T21:27:40
61473,%d,19
61474,ssn,514-17-7797
61475,%Y.%m.%d %H:%M:%S,1996.08.09 20:29:58
61476,%Y-%m-%d %H:%M:%S,2021-12-11 17:30:50
61477,%m_%d_%Y,05_20_1990
61478,%d-%m-%y,28-12-18
61479,city,Joshuashire
61480,%Y.%m.%d,1973.03.16
61481,paragraph,Pretty direction quite despite painting. Six win hundred history evening skin administration. New reveal such then interest. Brother record although clear already.
61482,"%A, %B %d, %Y HH:mm:ss","Friday, April 12, 2022, 01:48:20"
61483,country_GID,GRL
61484,%m/%d/%y,11/28/16
61485,country_name,Honduras
61486,"%a, %d %b %Y","Sun, 14 Sep 1997"
61487,%B,October
61488,prefix,Ms.
61489,%a,mon
61490,latitude,-17.5677355
61491,%d_%m_%y,03_02_71
61492,%m/%d/%Y,05/07/2018
61493,%d %B %y,21 April 20
61494,city_suffix,haven
61495,%Y-%Y,1983 - 2003
61496,first_name,Keith
61497,%m_%d_%y,05_04_19
61498,%Y/%m/%d,1970/06/13
61499,%d.%m.%y,13.04.95
61500,%b,feb
61501,ssn,063-58-7957
61502,language_name,Albanian
61503,%d-%m-%y,26-05-80
61504,%Y_%m_%d,1986_03_31
61505,%d.%m.%y,22.12.14
61506,%d-%m-%Y %H:%M:%S,20-05-1999 16:05:15
61507,%d.%m.%Y %H:%M:%S,10.06.2009 07:48:35
61508,%m,06
61509,%a,fri
61510,phone_number,642-112-7154x94853
61511,city_suffix,view
61512,%m_%d_%Y,12_29_1973
61513,%m_%d_%y,06_10_91
61514,%Y.%m,1995.09
61515,%d.%m.%Y,07.04.2012
61516,%B,May
61517,%m/%d/%y,03/09/95
61518,email,mckenzierose@example.com
61519,%B,July
61520,%d/%m/%Y,01/02/2009
61521,%Y%m%d,19921211
61522,%m/%d/%Y %H:%M:%S,06/13/1997 00:51:53
61523,boolean,True
61524,%d,01
61525,boolean_letter,t
61526,prefix,Mrs.
61527,country_code,SD
61528,"%a, %d %b %Y","Sat, 23 Mar 2019"
61529,%d.%m.%Y,13.06.2011
61530,"%A, %B %d, %Y HH:mm:ss","Monday, April 29, 1984, 12:04:20"
61531,%m_%d_%Y %H:%M:%S,05_01_2001 22:31:13
61532,%Y_%m,1991_11
61533,%Y_%m_%d %H:%M:%S,1975_04_04 02:34:19
61534,%Y.%m,1988.10
61535,%m-%d-%Y,05-17-2016
61536,boolean,True
61537,%d/%m/%Y,02/07/1984
61538,%d.%m.%y,28.02.11
61539,"%A, %B %d, %y","Monday, August 24, 1985"
61540,%m/%d/%y,08/24/72
61541,country_code,SV
61542,%m,10
61543,%m_%d_%Y %H:%M:%S,03_20_1974 12:23:07
61544,city,West Biancaberg
61545,continent,Antarctica
61546,latitude,67.2466375
61547,ssn,667-04-3414
61548,%m/%d/%y,06/12/14
61549,email,sophiabowers@example.org
61550,latitude,-31.8910095
61551,%Y-%Y,1974-1970
61552,country_name,Poland
61553,%d_%m_%Y %H:%M:%S,06_04_1970 20:14:20
61554,%m_%d_%Y,04_21_2000
61555,%m-%d-%Y,01-03-1975
61556,longitude,-88.942515
61557,%m/%d/%y %H:%M:%S %p,02/06/90 22:45:33 PM
61558,%Y-%Y,1973-2008
61559,%b,aug
61560,%A,Friday
61561,"%B %d, %Y - %B %d, %Y","November 17, 2002 - May 19, 2015"
61562,%m,05
61563,%Y_%m,1980_04
61564,boolean_letter,t
61565,ssn,424-72-1491
61566,%m.%d.%Y %H:%M:%S,05.01.1975 00:30:10
61567,city,East Corey
61568,%m.%d.%Y %H:%M:%S,08.26.1978 00:36:25
61569,%Y.%m.%d,1975.10.08
61570,%m.%d.%Y %H:%M:%S,11.08.2017 07:19:59
61571,%m_%d_%Y,05_30_1994
61572,latlong,"48.4525025, 34.504461"
61573,first_name,Jessica
61574,%m.%d.%Y %H:%M:%S,02.24.2008 15:45:23
61575,%m.%d.%Y,04.30.1975
61576,%Y.%m,1977.08
61577,%Y.%m.%d,2004.09.16
61578,%m/%d/%y,03/07/79
61579,%Y-%Y,2013-1998
61580,%d/%m/%Y-%d/%m/%Y,05/06/2020 - 25/09/1975
61581,paragraph,Five night factor food mother risk. Street follow knowledge somebody whom job debate. Laugh change me speech relate.
61582,zipcode,29371
61583,city_suffix,land
61584,%d.%m.%Y,25.10.1986
61585,%Y-%m-%d %H:%M:%S,2005-12-18 07:12:07
61586,pystr,zbHnAXuOIBROkHEvAxob
61587,%Y-%m,1997-03
61588,pyfloat,4366053.87121041
61589,city,South Eugeneview
61590,%A,Thursday
61591,"%a, %d %b %Y","Sun, 23 May 2021"
61592,email,lukenorman@example.net
61593,%Y.%m.%d %H:%M:%S,1977.07.20 13:15:19
61594,country_code,KM
61595,%m/%d/%Y,10/12/1996
61596,%m_%d_%Y %H:%M:%S,02_05_2022 16:55:31
61597,city_suffix,ton
61598,paragraph,Couple painting they. Build show watch outside writer during get start. Water more movement so. Wish three father white song cause senior.
61599,%m.%d.%Y,05.09.1974
61600,%m.%d.%Y,05.21.1979
61601,%d/%m/%Y-%d/%m/%Y,22/05/1980 - 16/06/2008
61602,%d-%m-%y,05-06-76
61603,"%A, %B %d, %Y HH:mm:ss","Saturday, June 14, 1981, 08:18:22"
61604,%d,22
61605,phone_number,506.913.8251
61606,%Y/%m,1978/02
61607,%m-%d-%Y,08-14-1981
61608,%Y.%m,1980.09
61609,country_GID,FRO
61610,%Y.%m.%d,2006.02.24
61611,%d_%m_%y,16_05_00
61612,%m_%d_%Y %H:%M:%S,03_11_2013 20:34:20
61613,"%B %d, %Y","May 29, 1986"
61614,%m/%d/%y,03/02/20
61615,%Y_%m,2001_04
61616,"%B %d, %Y","February 21, 2004"
61617,percent,0.0024
61618,%Y%m%d,19840827
61619,%Y,2013
61620,%d-%m-%Y %H:%M:%S,27-05-1977 14:10:36
61621,"%B %d, %Y","July 10, 1995"
61622,country_GID,AIA
61623,%m-%d-%Y,02-16-1992
61624,pystr,osGKsmyKtdRIuSnKwmas
61625,%Y.%m,2016.10
61626,boolean_letter,f
61627,%Y_%m_%d %H:%M:%S,1982_11_30 18:23:41
61628,%Y_%m,2008_01
61629,%d,27
61630,country_GID,KEN
61631,%m-%d-%y,11-07-93
61632,"%B %d, %Y - %B %d, %Y","September 04, 1973-February 14, 1976"
61633,city_suffix,mouth
61634,%Y-%m,1981-01
61635,%Y:%Y,2000 : 2016
61636,%d %B %y,04 January 19
61637,%B,July
61638,%d/%m/%Y:%d/%m/%Y,10/10/2008:05/08/1985
61639,"%a, %d %b %Y","Sat, 15 Oct 1988"
61640,%d.%m.%Y,24.08.1980
61641,%m.%d.%Y,02.09.1997
61642,%d/%m/%Y:%d/%m/%Y,24/11/2002 : 10/02/2011
61643,%m/%d/%y,06/30/79
61644,pyfloat,-9.95282184716685
61645,%Y/%m/%d,2013/05/13
61646,%d,15
61647,language_name,Turkmen
61648,%Y,1976
61649,language_name,Samoan
61650,%d,09
61651,pystr,kVflJPCAqANmrgzvhVzX
61652,percent,0.0016
61653,%m/%d/%y,12/23/87
61654,latlong,"46.230, -141.694"
61655,city_suffix,burgh
61656,%d.%m.%y,11.03.19
61657,%A,Wednesday
61658,%m/%d/%y %H:%M:%S %p,06/28/87 16:35:00 PM
61659,pyfloat,59204467119746.2
61660,"%B %d, %Y","August 02, 1981"
61661,country_code,SC
61662,%m_%d_%Y %H:%M:%S,04_13_2011 20:22:22
61663,%Y/%m/%d,1974/06/14
61664,%m.%d.%Y,12.10.1985
61665,%d_%m_%Y,14_06_2020
61666,city_suffix,land
61667,%d/%m/%y,06/03/00
61668,%d-%m-%Y,26-03-2000
61669,%A,Saturday
61670,%Y-%Y,2021-1971
61671,%d,04
61672,%m/%d/%Y %H:%M:%S,09/27/1989 23:23:06
61673,boolean_letter,T
61674,country_GID,MDG
61675,%Y_%m,1985_09
61676,%d_%m_%Y %H:%M:%S,22_06_1998 14:00:23
61677,first_name,Lindsey
61678,%d %B %Y,01 June 2009
61679,%Y/%m/%d,1973/08/27
61680,latlong,"70.297349, 154.911874"
61681,%Y-%m,2001-05
61682,%m/%d/%Y %H:%M:%S,04/15/2008 01:28:49
61683,boolean_letter,f
61684,%m.%d.%Y,09.28.2022
61685,city,North Shane
61686,%B,August
61687,%m_%d_%Y,03_30_1985
61688,latitude,-88.5712485
61689,%m/%d/%Y,03/21/1999
61690,%B,December
61691,%m-%d-%y,01-13-93
61692,"%B %d, %Y","December 10, 1993"
61693,city_suffix,town
61694,%m-%d-%Y,01-11-1988
61695,%d-%m-%Y:%d-%m-%Y,10-01-2002:30-12-1970
61696,%m-%d-%Y,10-07-1973
61697,%d/%m/%Y:%d/%m/%Y,27/10/2010 : 17/01/2021
61698,%d-%m-%Y %H:%M:%S,03-06-2018 04:17:56
61699,pyfloat,-605906.44550276
61700,%Y/%m,2005/05
61701,%B,September
61702,latitude,-69.327929
61703,%d.%m.%Y %H:%M:%S,07.04.1984 05:45:48
61704,prefix,Ind.
61705,%d-%m-%Y,15-04-1979
61706,%Y.%m,2013.12
61707,country_name,Gambia
61708,%m/%d/%Y %H:%M:%S,12/13/1977 20:30:13
61709,"%A, %B %d, %Y HH:mm:ss","Friday, February 03, 1999, 19:00:12"
61710,%d-%m-%Y,05-12-1977
61711,%d-%m-%Y:%d-%m-%Y,20-08-2001:14-01-2005
61712,%Y.%m.%d %H:%M:%S,1997.08.31 09:23:52
61713,%Y/%m/%d %H:%M:%S,1974/11/08 06:02:59
61714,%a,wed
61715,%d/%m/%Y-%d/%m/%Y,06/03/2011 - 25/08/2013
61716,email,oward@example.net
61717,%Y/%m/%d,2010/02/16
61718,prefix,Dr.
61719,%d_%m_%Y,07_02_1988
61720,first_name,Edward
61721,language_name,Maltese
61722,%m/%d/%y,10/29/88
61723,city_suffix,town
61724,%m-%d-%Y,11-05-1975
61725,%Y_%m_%d,1990_10_17
61726,%m.%d.%y,04.22.78
61727,continent,Asia
61728,%d.%m.%Y,09.07.1979
61729,%d-%m-%y,21-12-02
61730,country_GID,PRK
61731,%d/%m/%Y,02/06/2021
61732,%d %B %Y,29 February 1974
61733,prefix,Dr.
61734,%Y-%m,1992-11
61735,"%B %d, %Y","December 27, 2016"
61736,percent,0.025
61737,longitude,147.448259
61738,%A,Thursday
61739,%d_%m_%y,21_10_94
61740,city_suffix,chester
61741,%Y_%m_%d,1974_08_09
61742,longitude,-46.937722
61743,continent,Asia
61744,%Y:%Y,1983 : 2013
61745,%a,sun
61746,%m/%d/%Y,06/24/1987
61747,phone_number,(653)064-1076
61748,%d-%m-%Y,13-09-1989
61749,%m/%d/%Y,08/17/2021
61750,city_suffix,side
61751,%m.%d.%Y,12.26.2000
61752,%B,November
61753,%Y-%m,2000-08
61754,%Y%m%d,19870817
61755,%Y/%m,1981/06
61756,prefix,Misc.
61757,%d %B %y,01 February 20
61758,"%B %d, %Y - %B %d, %Y","May 22, 2009-January 04, 2018"
61759,%d-%m-%Y,11-09-1983
61760,zipcode,60299
61761,%d/%m/%Y-%d/%m/%Y,06/04/2021 - 14/11/2016
61762,%Y-%m-%dT%H%M%S,2006-04-14T03:06:06
61763,%Y/%m/%d,1975/07/17
61764,%Y.%m.%d %H:%M:%S,2000.12.05 15:33:54
61765,%d-%m-%y,09-10-91
61766,%Y_%m,2003_03
61767,%d/%m/%Y,24/06/1972
61768,%m/%d/%Y,01/01/1990
61769,"%A, %B %d, %y","Sunday, February 30, 2012"
61770,%m,07
61771,%d.%m.%Y %H:%M:%S,22.02.2002 03:48:22
61772,%d %B %y,19 February 19
61773,%Y/%m,1982/04
61774,%d_%m_%Y,18_05_2020
61775,%d,01
61776,%Y_%m_%d %H:%M:%S,2010_08_12 22:16:00
61777,%m_%d_%y,06_26_96
61778,%A,Thursday
61779,pystr,aXPrXZQZKVKpTrrxUiEb
61780,first_name,Daniel
61781,%d,13
61782,%Y%m%d,19820617
61783,%d_%m_%Y,03_05_1986
61784,email,justin68@example.org
61785,%m-%d-%y,12-22-10
61786,%m.%d.%Y %H:%M:%S,08.22.1996 14:54:39
61787,"%a, %d %b %Y","Thu, 22 Nov 1979"
61788,%d.%m.%Y,23.10.1982
61789,"%A, %B %d, %y","Monday, April 16, 1983"
61790,%Y-%m,2021-12
61791,%m_%d_%y,05_16_96
61792,%Y/%m/%d,2006/09/21
61793,%m/%d/%y %H:%M:%S %p,08/21/75 08:08:51 PM
61794,%d/%m/%Y,01/07/1971
61795,%m.%d.%Y,12.10.1985
61796,%Y-%m,1978-02
61797,"%B %d, %Y","October 17, 2009"
61798,%d-%m-%Y %H:%M:%S,23-06-1979 04:18:21
61799,%Y.%m,2009.09
61800,"%A, %B %d, %Y HH:mm:ss","Monday, April 02, 1998, 11:08:08"
61801,%m/%d/%y %H:%M:%S %p,03/05/82 07:42:08 AM
61802,country_code,RS
61803,"%A, %B %d, %Y HH:mm:ss","Monday, July 09, 2001, 01:40:29"
61804,%Y-%m,1984-08
61805,%Y_%m_%d,1993_05_10
61806,"%A, %B %d, %Y HH:mm:ss","Friday, October 21, 1984, 14:56:16"
61807,%d/%m/%y,15/01/05
61808,prefix,Dr.
61809,country_name,India
61810,%m.%d.%Y %H:%M:%S,05.30.1986 15:49:34
61811,%d-%m-%Y,21-02-1988
61812,%Y/%m/%d,2014/04/12
61813,%Y-%m-%dT%H%M%S,2001-10-01T08:45:01
61814,first_name,Dana
61815,email,watsonjoshua@example.com
61816,country_name,Afghanistan
61817,%d/%m/%Y,23/08/1990
61818,boolean,False
61819,latlong,"-70.7354195, 58.566174"
61820,%d.%m.%Y %H:%M:%S,06.06.2016 14:37:51
61821,"%a, %d %b %Y","Sat, 03 Oct 1992"
61822,%d.%m.%Y,21.09.1973
61823,city_suffix,port
61824,%m,07
61825,longitude,-56.532185
61826,%m.%d.%y,01.15.97
61827,longitude,121.438060
61828,latitude,3.420323
61829,%Y.%m.%d,1984.02.05
61830,%m.%d.%Y %H:%M:%S,05.11.1979 03:19:21
61831,ssn,407-75-2174
61832,%Y%m%d,19981206
61833,ssn,138-68-1531
61834,city_suffix,port
61835,%m_%d_%Y %H:%M:%S,08_16_1985 16:57:59
61836,country_GID,SSD
61837,country_GID,CMR
61838,prefix,Mx.
61839,%Y-%m,2000-04
61840,%Y.%m.%d %H:%M:%S,2015.12.03 12:48:01
61841,%d %B %Y,23 February 2022
61842,%m.%d.%Y %H:%M:%S,10.13.1983 07:17:37
61843,%Y/%m/%d %H:%M:%S,2019/03/25 02:55:08
61844,%m_%d_%Y,05_04_1971
61845,%m_%d_%y,02_21_71
61846,"%B %d, %Y - %B %d, %Y","March 16, 1982 - March 02, 1975"
61847,%Y%m%d,20120419
61848,%m-%d-%Y %H:%M:%S,12-26-1979 18:24:00
61849,%Y_%m,2017_07
61850,%Y-%m,1997-10
61851,paragraph,Least nor force while anything. Significant it walk student audience strong especially husband. That lot too administration treat we. Close culture fish thousand.
61852,country_name,Mauritania
61853,percent,0.75
61854,%d/%m/%Y %H:%M:%S,26/08/1985 06:05:28
61855,%d-%m-%Y,09-08-1972
61856,boolean,False
61857,%m_%d_%Y,11_13_2012
61858,%m-%d-%Y,12-10-1974
61859,%d/%m/%Y:%d/%m/%Y,02/02/2017:02/02/1982
61860,%d_%m_%Y %H:%M:%S,28_05_2021 08:01:19
61861,%Y/%m/%d,1981/02/07
61862,%d %B %y,15 December 20
61863,%d/%m/%y,02/01/13
61864,percent,0.69
61865,%Y.%m.%d %H:%M:%S,1990.10.22 21:50:45
61866,country_code,GN
61867,%d/%m/%Y-%d/%m/%Y,09/04/1988 - 15/07/1977
61868,"%B %d, %Y - %B %d, %Y","November 04, 1973 - October 09, 1983"
61869,language_name,Ojibwa
61870,phone_number,543.828.6888x2526
61871,%m-%d-%Y %H:%M:%S,09-27-2006 20:49:47
61872,%m_%d_%Y,10_12_1997
61873,%d-%m-%Y:%d-%m-%Y,12-08-1976 : 13-10-2009
61874,language_name,Bislama
61875,language_name,Fulah
61876,country_GID,MTQ
61877,%m,05
61878,"%A, %B %d, %y","Thursday, August 02, 2009"
61879,%d/%m/%Y-%d/%m/%Y,08/09/2016-27/06/2008
61880,%d_%m_%Y,23_10_1995
61881,"%B %d, %Y","February 07, 2012"
61882,%m.%d.%Y,11.04.1987
61883,%d/%m/%y,09/04/01
61884,%d.%m.%Y %H:%M:%S,18.11.1993 08:40:22
61885,%m/%d/%y,05/03/93
61886,%d-%m-%Y %H:%M:%S,31-10-2021 20:29:03
61887,%Y%d,200623
61888,%m/%d/%Y,09/15/1990
61889,%Y-%Y,1973 - 1997
61890,language_name,Swahili
61891,%d %B %y,24 August 19
61892,country_name,Guatemala
61893,pystr,WBeSmmHfvIbEoxYFUHkP
61894,%m.%d.%Y %H:%M:%S,04.29.1976 15:38:14
61895,%d/%m/%y,20/09/19
61896,zipcode,53601
61897,%m/%d/%Y %H:%M:%S,12/01/1976 04:28:33
61898,"%B %d, %Y","July 03, 2015"
61899,paragraph,Chair animal assume travel until. Bank clearly despite.
61900,unix_time,401283190
61901,unix_time,1176857660
61902,%B,March
61903,%Y.%m.%d,1991.04.18
61904,%Y/%m/%d %H:%M:%S,2009/07/29 03:00:53
61905,first_name,Sarah
61906,%d.%m.%y,08.03.07
61907,%d-%m-%Y,11-10-2008
61908,"%B %d, %Y","April 02, 2012"
61909,%d/%m/%Y-%d/%m/%Y,30/10/1985 - 22/01/1971
61910,%Y:%Y,1973:2010
61911,city,Wilkinsonton
61912,city,Lake Jeffreytown
61913,city,Stevenschester
61914,%m_%d_%Y %H:%M:%S,10_26_1972 17:56:16
61915,%d/%m/%Y:%d/%m/%Y,21/10/2003:17/02/2009
61916,%d/%m/%y,16/02/06
61917,%A,Thursday
61918,%a,fri
61919,latitude,86.5426375
61920,%d.%m.%Y %H:%M:%S,07.01.2011 09:45:59
61921,boolean,False
61922,city_suffix,port
61923,latitude,37.038922
61924,%Y-%m-%d,2013-02-06
61925,"%A, %B %d, %y","Thursday, September 12, 2008"
61926,boolean,False
61927,%d,22
61928,%Y/%m/%d,1972/07/19
61929,%d %B %y,24 July 19
61930,city,East John
61931,zipcode,67320
61932,%Y/%m/%d %H:%M:%S,2018/02/04 07:45:11
61933,country_name,Angola
61934,%Y-%Y,2019-1996
61935,unix_time,1491826966
61936,%d/%m/%Y,12/10/1970
61937,%d/%m/%Y,08/06/1976
61938,boolean,False
61939,%d.%m.%Y %H:%M:%S,21.07.2000 16:14:08
61940,%d/%m/%Y %H:%M:%S,16/09/1993 01:35:57
61941,country_GID,SSD
61942,paragraph,Yeah property information picture face. Cost most part thus.
61943,%d.%m.%y,10.01.00
61944,paragraph,Condition expect interview lawyer you. Serve eight parent fly protect include. Between everything interview community seem market security.
61945,%d.%m.%Y,13.09.1980
61946,%B,August
61947,latlong,"-12.899, 109.118"
61948,%Y-%m-%d %H:%M:%S,1997-10-31 12:53:32
61949,%Y-%m,1983-02
61950,%d,24
61951,%A,Tuesday
61952,boolean,True
61953,%d_%m_%Y,25_01_1995
61954,%m/%d/%Y %H:%M:%S,01/08/1994 20:21:12
61955,"%a, %d %b %Y","Sun, 30 May 2021"
61956,%a,sat
61957,%Y-%m-%dT%H%M%S,1985-10-16T00:29:37
61958,boolean_letter,F
61959,%Y,1984
61960,zipcode,03588
61961,%Y-%m-%dT%H%M%S,1996-07-30T07:10:59
61962,first_name,Noah
61963,unix_time,1490469046
61964,%m-%d-%Y %H:%M:%S,08-21-1990 17:44:59
61965,phone_number,001-737-951-1328x86963
61966,zipcode,35495
61967,"%B %d, %Y - %B %d, %Y","February 13, 2007-November 13, 1993"
61968,unix_time,475587628
61969,boolean,True
61970,%d/%m/%Y:%d/%m/%Y,23/08/1991:04/06/1991
61971,%A,Tuesday
61972,percent,0.0084
61973,%d/%m/%y,15/03/18
61974,%d_%m_%Y,26_01_1977
61975,%d/%m/%Y:%d/%m/%Y,17/05/2021:22/11/2015
61976,%m_%d_%Y %H:%M:%S,03_12_1982 06:16:16
61977,zipcode,50958
61978,%a,sun
61979,continent,AF
61980,boolean,False
61981,%Y-%m,1998-06
61982,%d/%m/%Y-%d/%m/%Y,13/01/1993-21/12/1991
61983,ssn,283-82-1009
61984,%b,may
61985,%d.%m.%y,04.11.93
61986,%Y.%m,2007.12
61987,%Y/%m/%d %H:%M:%S,1980/05/25 04:39:43
61988,unix_time,1145904509
61989,"%A, %B %d, %y","Saturday, September 06, 1981"
61990,%b,dec
61991,email,ereid@example.org
61992,"%a, %d %b %Y","Sun, 05 Sep 1971"
61993,%B,January
61994,%d-%m-%Y,12-05-2019
61995,city,Cohenport
61996,%Y.%m.%d,1973.03.25
61997,pyfloat,-61.7785471550909
61998,%d,23
61999,email,suzanne94@example.org
62000,"%B %d, %Y","August 17, 1981"
62001,%Y:%Y,2017 : 1971
62002,%Y_%m,1979_02
62003,boolean_letter,T
62004,%Y-%m-%dT%H%M%S,2015-07-19T22:14:05
62005,email,vlyons@example.com
62006,%Y/%m,1991/04
62007,"%A, %B %d, %Y HH:mm:ss","Wednesday, September 28, 1985, 01:57:19"
62008,%Y.%m,1983.05
62009,%B,December
62010,%Y-%m-%d %H:%M:%S,1977-02-25 10:42:14
62011,%m-%d-%Y,05-09-1974
62012,"%A, %B %d, %Y HH:mm:ss","Saturday, January 11, 2019, 23:20:14"
62013,%Y_%m_%d %H:%M:%S,1987_06_14 23:34:11
62014,%Y.%m.%d,2021.07.27
62015,"%B %d, %Y - %B %d, %Y","March 17, 2014 - January 31, 2017"
62016,first_name,Autumn
62017,first_name,Scott
62018,%d-%m-%Y,17-08-1972
62019,prefix,Ms.
62020,"%A, %B %d, %Y HH:mm:ss","Wednesday, May 30, 2022, 15:31:03"
62021,%d-%m-%y,04-07-05
62022,%Y_%m_%d %H:%M:%S,1983_05_22 22:23:20
62023,language_name,Thai
62024,%Y-%m-%dT%H%M%S,1983-03-05T05:10:13
62025,ssn,752-98-5385
62026,%m/%d/%y,06/15/10
62027,%Y-%m-%dT%H%M%S,1981-01-05T13:15:07
62028,%Y%m%d,19820613
62029,%Y-%m,1990-02
62030,%d.%m.%Y,05.02.2007
62031,%d.%m.%y,12.08.19
62032,%b,jun
62033,%Y:%Y,1970:2019
62034,%Y%d,198122
62035,%d.%m.%Y %H:%M:%S,25.01.1999 05:52:12
62036,%Y.%m,1972.10
62037,%m-%d-%y,09-27-95
62038,paragraph,Though who lawyer fast short police. Big food just bad everybody billion.
62039,%d_%m_%y,15_11_91
62040,%m_%d_%y,03_28_15
62041,%Y-%m-%d,2005-01-25
62042,%d/%m/%Y %H:%M:%S,14/11/2019 00:20:03
62043,%d-%m-%Y,01-06-1992
62044,%m-%d-%y,02-13-11
62045,city_suffix,berg
62046,%m/%d/%Y %H:%M:%S,07/10/1998 21:25:55
62047,first_name,Sarah
62048,latitude,-9.5961985
62049,%Y.%m,1973.02
62050,%m_%d_%y,04_11_16
62051,%Y-%Y,1988-2007
62052,%d_%m_%y,12_05_07
62053,%Y:%Y,1970 : 1989
62054,"%B %d, %Y","March 18, 2000"
62055,%m_%d_%Y,08_15_2014
62056,boolean_letter,F
62057,%Y-%Y,1999-1994
62058,"%a, %d %b %Y","Mon, 20 Sep 1993"
62059,%Y-%m-%d %H:%M:%S,1972-01-26 22:59:47
62060,first_name,Christopher
62061,%d/%m/%Y %H:%M:%S,01/08/1999 20:18:28
62062,%d-%m-%Y:%d-%m-%Y,23-08-2016 : 17-12-2019
62063,%d/%m/%y,19/04/98
62064,%d/%m/%Y:%d/%m/%Y,19/10/1996:14/08/1980
62065,"%a, %d %b %Y","Sun, 25 Feb 2001"
62066,%d/%m/%y,26/02/18
62067,latlong,"33.2710725, -17.744808"
62068,%Y_%m,2008_12
62069,%d-%m-%Y %H:%M:%S,26-03-1994 13:48:21
62070,%Y/%m/%d %H:%M:%S,2011/01/05 12:20:33
62071,longitude,-51.524555
62072,%m/%d/%Y,06/13/1992
62073,%m/%d/%y,08/04/80
62074,%Y-%m-%d %H:%M:%S,1996-05-15 19:08:26
62075,%Y,1984
62076,%Y/%m,2003/02
62077,%m_%d_%Y %H:%M:%S,10_29_2001 14:41:49
62078,%d/%m/%y,27/09/01
62079,%d/%m/%Y-%d/%m/%Y,26/05/2001-23/06/2014
62080,"%A, %B %d, %y","Tuesday, August 22, 2017"
62081,%Y%d,198730
62082,%d,11
62083,%Y-%Y,1984-1974
62084,%d-%m-%y,29-10-04
62085,%m_%d_%Y %H:%M:%S,07_24_2009 16:45:24
62086,prefix,Misc.
62087,%d-%m-%y,27-11-12
62088,continent,EU
62089,"%B %d, %Y - %B %d, %Y","July 20, 1983 - September 05, 1983"
62090,%Y_%m,2006_01
62091,%m-%d-%y,09-25-05
62092,%d/%m/%Y:%d/%m/%Y,01/02/2003 : 15/01/1997
62093,%Y%d,197621
62094,%d.%m.%Y %H:%M:%S,13.02.2002 18:22:33
62095,unix_time,1129552714
62096,%Y_%m,1998_08
62097,%Y.%m,1982.10
62098,zipcode,08635
62099,%m/%d/%Y,11/04/2010
62100,continent,SA
62101,%m/%d/%y,10/21/14
62102,continent,Antarctica
62103,%m/%d/%Y,02/18/2021
62104,language_name,Kinyarwanda
62105,%m_%d_%Y,08_22_1995
62106,%d-%m-%y,08-01-72
62107,country_code,JO
62108,%m-%d-%Y,10-06-2015
62109,%Y/%m/%d,2010/01/03
62110,phone_number,+1-528-988-6039x34406
62111,%Y/%m/%d %H:%M:%S,2017/01/10 04:29:16
62112,phone_number,001-557-289-0275x2986
62113,%d/%m/%Y:%d/%m/%Y,23/03/2007 : 16/05/2001
62114,%Y%d,201501
62115,"%a, %d %b %Y","Fri, 17 Mar 2017"
62116,%m/%d/%y,07/16/18
62117,%m-%d-%Y,06-27-1991
62118,%d-%m-%Y:%d-%m-%Y,15-10-1973 : 01-09-1990
62119,%Y-%m-%d,2001-07-20
62120,%d/%m/%Y %H:%M:%S,26/02/1984 19:10:18
62121,"%B %d, %Y","November 18, 2000"
62122,%m.%d.%y,07.09.76
62123,"%A, %B %d, %Y HH:mm:ss","Friday, July 03, 1977, 19:46:42"
62124,%Y.%m.%d,1972.11.30
62125,latlong,"-61.0692695, 132.292117"
62126,%Y%m%d,20150330
62127,first_name,Tyler
62128,boolean_letter,t
62129,%m-%d-%Y %H:%M:%S,07-30-1972 15:09:24
62130,%A,Wednesday
62131,%d_%m_%Y,02_05_2014
62132,latlong,"53.9824, 166.0006"
62133,%d.%m.%y,08.09.91
62134,%d.%m.%y,03.11.82
62135,%d-%m-%Y:%d-%m-%Y,06-12-1970 : 17-05-2021
62136,country_name,Svalbard & Jan Mayen Islands
62137,percent,0.0049
62138,%d,14
62139,%d-%m-%Y %H:%M:%S,22-04-2005 20:17:31
62140,%d-%m-%y,17-05-03
62141,"%B %d, %Y","March 16, 2015"
62142,%d,19
62143,pystr,KqgMJuoMHkWqSrCYWpkJ
62144,%Y%d,198222
62145,%m.%d.%y,04.11.19
62146,%d_%m_%Y %H:%M:%S,18_12_1982 06:17:13
62147,unix_time,1506614418
62148,"%A, %B %d, %y","Friday, October 13, 1980"
62149,%Y/%m,1998/08
62150,"%A, %B %d, %y","Monday, March 15, 2001"
62151,first_name,Dean
62152,%m.%d.%Y %H:%M:%S,08.04.1980 02:31:36
62153,%Y.%m.%d %H:%M:%S,2004.12.30 17:21:05
62154,"%B %d, %Y - %B %d, %Y","December 12, 2004 - March 19, 1980"
62155,pyfloat,1638349796.26701
62156,"%A, %B %d, %y","Tuesday, January 18, 1992"
62157,pyfloat,2837683.10803383
62158,%Y/%m,1987/07
62159,country_GID,CUB
62160,unix_time,57186948
62161,boolean,False
62162,%m/%d/%y,02/03/75
62163,%m/%d/%y %H:%M:%S %p,03/23/17 18:15:30 PM
62164,%b,jun
62165,%Y%d,200111
62166,%d %B %y,25 December 19
